DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school's approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services,Metric Rating - Percentage of Students with 90%+ Attendance,N count - Percentage of Students with 90%+ Attendance,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Metric Rating - Movement of Students with IEPs to Less Restrictive Environments,N count - Movement of Students with IEPs to Less Restrictive Environments,Metric Value - Movement of Students with IEPs to Less Restrictive Environments,Metric Score - Movement of Students with IEPs to Less Restrictive Environments,Rigorous Instruction - Element Score,Rigorous Instruction - City Positive Responses,Collaborative Teachers - Element Score,Collaborative Teachers - City Positive Responses,Supportive Environment - Element Score,Supportive Environment - City Positive Responses,Effective School Leadership - Element Score,Effective School Leadership - City Positive Responses,Strong Family-Community Ties - Element Score,Strong Family-Community Ties - City Positive Responses,Trust - Element Score,Trust - City Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review,N Count - Average Student Attendance,Metric Value - Average Student Attendance,"N Count - Percentage of Students at Level 3 or 4, ELA","Metric Value - Percentage of Students at Level 3 or 4, ELA","N Count - Percentage of Students at Level 3 or 4, Math","Metric Value - Percentage of Students at Level 3 or 4, Math","N Count - Average Student Proficiency, ELA","Metric Value - Average Student Proficiency, ELA","N Count - Average Student Proficiency, Math","Metric Value - Average Student Proficiency, Math",Geographical_District_code
04M112,P.S. 112 Jose Celso Barbosa,K-2,173.0,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.78,0.82,0.78,0.74,0.98,0.85,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"April 29, 2015",0.451,0.549,0.0,0.22,0.468,0.006,0.341,0.081,0.906,0.087,0.838,0.035,0.185,0.676,0.012,0.0,0.064,0.05,0.05,0.472,0.0,0.0,0.453,0.4,0.023,0.295,0.604,0.012,0.002,0.033,0.026,0.253,0.642,0.011,0.003,0.043,4.1,0.736,0.84,0.965,0.94,,,0.99,,,Not Meeting Target,235.0,0.374,1.0,Meeting Target,68.0,0.28,3.39,4.04,0.81,4.02,0.86,3.9,0.8,2.67,0.83,4.66,0.95,3.34,0.9,,0.73,0.33,Eileen Reiter,"April 29, 2015",239.0,0.84,,0.15,,0.15,,0.15,,0.15,4.0
09X170,P.S. 170,K-2,133.0,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.88,0.99,0.96,0.95,0.96,0.97,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,March 2020,0.436,0.564,0.0,0.233,0.271,0.023,0.068,0.105,0.921,0.158,0.88,0.008,0.158,0.812,0.015,0.0,0.0,0.05,0.05,0.438,0.05,0.05,0.438,0.2,0.009,0.275,0.682,0.012,0.0,0.009,0.007,0.249,0.715,0.008,0.003,0.014,8.1,1.0,0.907,0.954,0.67,,,0.95,,,Approaching Target,142.0,0.592,2.16,Exceeding Target,21.0,0.48,4.47,3.66,0.81,4.56,0.86,4.72,0.8,4.27,0.83,4.32,0.95,4.35,0.9,,0.81,0.53,Sonia Acevedo Suarez,March 2020,147.0,0.907,,0.15,,0.15,,0.15,,0.15,9.0
10X209,P.S. 209,K-2,153.0,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.86,0.96,0.94,0.94,0.98,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"February 2, 2015",0.516,0.484,0.0,0.301,0.222,0.0,0.19,0.013,0.912,0.176,0.863,0.007,0.144,0.824,0.007,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.882,0.2,0.008,0.276,0.696,0.008,0.002,0.009,0.036,0.128,0.76,0.007,0.003,0.054,16.3,0.941,0.919,0.97,0.96,,,0.61,,,Meeting Target,155.0,0.723,3.17,Not Meeting Target,25.0,0.0,1.0,4.8,0.81,4.7,0.86,4.6,0.8,4.41,0.83,4.57,0.95,4.49,0.9,,0.69,0.99,Ann Keegan,"February 2, 2015",160.0,0.919,,0.15,,0.15,,0.15,,0.15,10.0
14K319,P.S. 319,K-1,62.0,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.84,0.99,0.99,0.91,1.0,0.97,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"April 15, 2015",0.565,0.435,0.0,0.21,0.274,0.0,0.177,0.0,0.72,0.032,0.661,0.032,0.048,0.855,0.0,0.0,0.065,0.0,0.0,0.05,0.0,0.0,0.7,0.2,0.026,0.016,0.821,0.0,0.005,0.116,0.034,0.227,0.486,0.005,0.003,0.209,18.1,0.7,0.901,0.974,1.0,0.0,0.0,0.88,,,Approaching Target,63.0,0.667,2.77,Meeting Target,6.0,0.33,3.67,4.0,0.81,4.91,0.86,4.93,0.8,4.32,0.83,4.94,0.95,4.44,0.9,,1.0,0.92,Aleyda Zamora-Martinez,"April 15, 2015",64.0,0.901,,0.15,,0.15,,0.15,,0.15,14.0
15K958,P.S. 958,K-1,21.0,,,,,,,0.68,0.99,0.93,0.98,1.0,1.0,,,,,,,,,,,,0.333,0.667,0.0,0.238,0.762,0.0,0.286,0.476,0.651,0.286,0.524,0.048,0.143,0.667,0.048,0.0,0.095,0.05,0.05,0.05,0.0,0.0,0.05,0.9,0.326,0.02,0.527,0.003,0.001,0.11,0.19,0.073,0.342,0.004,0.001,0.333,1.2,0.5,0.909,0.979,0.85,,,0.9,,,,26.0,0.692,,,13.0,0.31,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,1.0,0.59,,,27.0,0.909,,0.15,,0.15,,0.15,,0.15,
19K938,P.S. 938,K-2,106.0,,,,,,Exceeding Target,0.71,0.93,0.81,0.93,0.98,0.96,,,,,,,,,,,,0.5,0.5,0.0,0.16,0.236,0.019,0.094,0.094,0.859,0.094,0.783,0.057,0.142,0.755,0.038,0.0,0.009,0.05,0.05,0.05,0.0,0.0,0.05,0.3,0.12,0.217,0.605,0.024,0.005,0.016,0.113,0.346,0.492,0.019,0.003,0.019,3.2,0.4,0.895,0.962,0.57,,,0.87,0.0,0.13,,116.0,0.534,,,11.0,0.82,,,0.81,,0.86,,0.8,,0.83,,0.95,4.34,0.9,,1.0,0.95,,,121.0,0.895,,0.15,,0.15,,0.15,,0.15,
20K939,Sunset School of Cultural Learning,K-2,152.0,,,,,,Meeting Target,0.81,0.89,0.85,0.93,0.96,0.92,,,,,,,,,,,,0.579,0.421,0.0,0.237,0.204,0.0,0.125,0.072,0.809,0.092,0.73,0.164,0.013,0.704,0.0,0.0,0.092,0.05,0.0,0.333,0.0,0.0,0.4,0.3,0.155,0.018,0.737,0.002,0.0,0.081,0.504,0.009,0.253,0.004,0.001,0.219,3.2,0.667,0.94,0.965,0.93,,,0.95,,,,162.0,0.802,,,23.0,0.17,,,0.81,,0.86,,0.8,,0.83,,0.95,3.93,0.9,,0.93,0.95,,,164.0,0.94,,0.15,,0.15,,0.15,,0.15,
22K326,P.S. 326,K-2,93.0,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.97,0.99,0.99,0.99,1.0,0.99,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,November 2019,0.495,0.505,0.0,0.226,0.269,0.0,0.097,0.129,0.643,0.011,0.613,0.097,0.731,0.097,0.043,0.0,0.011,0.05,0.05,0.05,0.05,0.05,0.842,0.5,0.063,0.714,0.113,0.027,0.013,0.043,0.204,0.251,0.165,0.013,0.009,0.336,3.0,0.842,0.912,0.973,0.95,,,0.97,,,Approaching Target,94.0,0.681,2.88,Meeting Target,16.0,0.25,3.22,4.98,0.81,4.51,0.86,4.93,0.8,4.37,0.83,4.99,0.95,4.84,0.9,,1.0,0.36,COLLEEN DUCEY,November 2019,96.0,0.912,,0.15,,0.15,,0.15,,0.15,22.0
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,K-2,304.0,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.88,0.91,0.94,0.9,0.94,0.95,Proficient,Proficient,Well Developed,Well Developed,Proficient,,,,,,15-Dec-14,0.48,0.52,0.0,0.701,0.217,0.0,0.089,0.102,0.823,0.141,0.75,0.03,0.003,0.957,0.003,0.0,0.003,0.05,0.05,0.263,0.05,0.0,0.526,0.2,0.058,0.003,0.929,0.0,0.003,0.005,0.158,0.016,0.729,0.006,0.001,0.083,5.1,0.974,0.918,0.971,0.89,0.11,0.0,0.97,,,Meeting Target,329.0,0.714,3.11,Approaching Target,46.0,0.15,2.7,4.06,0.81,3.69,0.86,4.65,0.8,4.14,0.83,3.98,0.95,4.24,0.9,,0.71,0.79,Laura Pessutti,15-Dec-14,336.0,0.918,,0.15,,0.15,,0.15,,0.15,24.0
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,K-3,272.0,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.75,0.86,0.88,0.84,0.96,0.92,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,Developing,October 2017,0.518,0.482,0.0,0.364,0.176,0.004,0.114,0.0,0.668,0.037,0.592,0.761,0.051,0.129,0.018,0.0,0.033,0.05,0.0,0.0,0.0,0.0,0.917,0.5,0.615,0.049,0.267,0.009,0.0,0.04,0.56,0.031,0.298,0.006,0.001,0.088,6.1,1.0,0.937,0.965,0.8,,,0.96,,,Approaching Target,279.0,0.81,2.86,Meeting Target,26.0,0.35,3.84,3.71,0.81,3.83,0.86,4.04,0.8,3.59,0.83,4.32,0.95,4.16,0.9,,0.77,0.61,Jill Pritchard,October 2017,284.0,0.937,57.0,0.649,58.0,0.776,57.0,3.32,58.0,3.61,25.0
