School Type,Quality Review - How well does the school assess what students are learning,Percent Neither Female nor Male,Student Percent - White,DBN,Student Percent - Hispanic,Percent English Language Learners,Percent Female,Percent Students with IEPs,Percentage of students with IEPs receiving all recommended related services,Effective School Leadership - Percent Positive,Quality Review - Dates Of Review,Teacher Percent - Black,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Supportive Environment - Element Score,Percentage of students with IEPs receiving some recommended related services,Rigorous Instruction Rating,Percentage of students with IEPs receiving no recommended related services,Supportive Environment Rating,Percent of teachers with 3 or more years of experience,Supportive Environment - Percent Positive,Teacher Percent - Native Hawaiian or Pacific Islander,Parent Survey Response Rate,Quality Review - How clearly are high expectations communicated to students and staff,Strong Family-Community Ties Rating,Quality Review - How effective is the teaching and learning,Quality Review - How well are school decisions evaluated and adjusted,Effective School Leadership Rating,Student Percent - Asian,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Student Percent - Native American,Collaborative Teachers Rating,Trust - City Positive Responses,Quality Review - How well do teachers work with each other,Strong Family-Community Ties - City Positive Responses,Years of principal experience at this school,Student Survey Response Rate,Rigorous Instruction - Percent Positive,Percent Male,Supportive Environment - City Positive Responses,Trust Rating,Strong Family-Community Ties - Element Score,School Name,Teacher Survey Response Rate,Collaborative Teachers - City Positive Responses,Effective School Leadership - Element Score,Trust - Percent Positive,Economic Need Index,Enrollment,Strong Family-Community Ties - Percent Positive,Collaborative Teachers - Percent Positive,Teacher Percent - Hispanic,Teacher Percent - White,Collaborative Teachers - Element Score,Percent HRA Eligible,Student Percent - Native Hawaiian or Pacific Islander,Rigorous Instruction - City Positive Responses,Teacher Percent - Native American,Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students with IEPs receiving some recommended special education programs,Quality Review - How thoughtful is the school's approach to teacher development and evaluation,"Quality Review - How well does the school identify, track, and meet its goals",Geographical_District_code,Effective School Leadership - City Positive Responses,Rigorous Instruction - Element Score,Trust - Element Score,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,Quality Review - How interesting and challenging is the curriculum,Percentage of students recommended for Special Class (SC) services,Student Percent - Black,Quality Review - Dates of Review,Percentage of students with IEPs receiving no recommended special education programs,Quality Review - Principal at Time of Review,Teacher Percent - Asian,Percent in Temp Housing
D75,Well Developed,0.0,0.048,75K004,0.289,0.294,0.223,1.0,0.93,0.71,December 2017,0.395,0.948,0.91,,0.01,Exceeding Target,0.07,,0.719,0.8,0.0,0.18,Well Developed,Meeting Target,Well Developed,Proficient,Meeting Target,0.066,0.033,0.035,Meeting Target,0.88,Well Developed,0.94,0.1,,0.74,0.777,0.82,Meeting Target,3.98,P.S. K004,0.42,0.83,3.48,0.85,0.894,395.0,0.94,0.77,0.096,0.36,3.43,0.848,0.018,0.75,0.0,0.0,0.06,Proficient,Well Developed,19.0,0.83,4.49,3.04,Well Developed,Well Developed,Well Developed,0.942,0.542,December 2017,0.02,DEBORAH EVANS,0.079,0.114
D75,Proficient,0.0,0.07,75K036,0.241,0.141,0.206,1.0,0.95,0.73,March 2019,0.274,0.95,0.95,,0.01,Meeting Target,0.04,,0.708,0.78,0.0,0.18,Well Developed,Meeting Target,Well Developed,Proficient,Approaching Target,0.063,0.003,0.008,Meeting Target,0.88,Proficient,0.94,5.1,0.17,0.68,0.794,0.82,Approaching Target,3.38,P.S. 36,0.58,0.83,2.96,0.82,0.923,398.0,0.91,0.74,0.115,0.522,3.15,0.897,0.003,0.75,0.05,0.01,0.03,Well Developed,Proficient,19.0,0.83,3.64,2.71,Well Developed,Proficient,Proficient,0.955,0.616,March 2019,0.02,Kevin Lenahan,0.05,0.146
D75,Well Developed,0.0,0.09,75K053,0.399,0.304,0.27,1.0,0.96,0.91,May 2019,0.13,0.952,0.91,,,,,,0.794,0.81,0.0,0.07,Well Developed,,Well Developed,Well Developed,,0.144,0.1,0.015,,0.88,Well Developed,0.94,12.9,0.09,0.77,0.73,0.82,,,P.S. K053,,0.83,,0.9,0.916,411.0,0.9,0.84,0.12,0.674,,0.895,0.002,0.75,0.0,0.0,0.03,Well Developed,Well Developed,15.0,0.83,,,Well Developed,Well Developed,Well Developed,0.837,0.321,May 2019,0.06,HEATHER LEYKAM,0.054,0.075
D75,Well Developed,0.0,0.168,75K077,0.22,0.311,0.191,1.0,0.89,0.89,May 2018,0.417,0.949,0.92,4.35,,Exceeding Target,,Exceeding Target,0.75,0.85,0.0,0.93,Well Developed,Exceeding Target,Proficient,Well Developed,Exceeding Target,0.23,0.084,0.003,Exceeding Target,0.88,Well Developed,0.94,7.8,0.93,0.82,0.809,0.82,Meeting Target,4.66,P.S. K077,0.99,0.83,4.7,0.91,0.902,309.0,0.98,0.89,0.05,0.452,4.48,0.867,0.003,0.75,0.0,0.0,,Well Developed,Well Developed,13.0,0.83,4.37,3.96,Well Developed,Well Developed,Well Developed,0.88,0.372,May 2018,,Ebony Russell,0.05,0.084
D75,Well Developed,0.0,0.028,75K140,0.284,0.107,0.161,1.0,0.95,0.81,February 2018,0.413,0.948,0.8,4.01,,Exceeding Target,,Exceeding Target,0.75,0.74,0.0,0.17,Well Developed,Meeting Target,Proficient,Proficient,Meeting Target,0.047,0.101,0.006,Meeting Target,0.88,Well Developed,0.94,0.4,0.53,0.68,0.839,0.82,Approaching Target,3.38,P.S. K140,0.46,0.83,3.73,0.84,0.928,317.0,0.91,0.8,0.163,0.3,3.21,0.909,0.0,0.75,0.0,0.028,0.16,Developing,Proficient,13.0,0.83,4.02,2.9,Well Developed,Well Developed,Well Developed,0.849,0.621,February 2018,0.04,RODERICK PALTON,0.05,0.237
D75,Proficient,0.0,0.157,75K141,0.361,0.242,0.339,1.0,0.87,0.72,December 2017,0.253,0.948,0.77,,0.01,Meeting Target,0.12,,0.779,0.86,0.0,0.44,Proficient,Meeting Target,Proficient,Well Developed,Meeting Target,0.069,0.003,0.008,Meeting Target,0.88,Proficient,0.94,14.0,0.07,0.75,0.661,0.82,Meeting Target,3.69,P.S. K141,0.64,0.83,3.56,0.87,0.924,363.0,0.91,0.78,0.084,0.6,3.39,0.893,0.011,0.75,0.0,0.0,0.18,Well Developed,Proficient,17.0,0.83,3.72,3.4,Well Developed,Well Developed,Well Developed,0.967,0.38,December 2017,0.05,Michele Thornton Mannix,0.05,0.135
D75,Proficient,0.0,0.36,75K231,0.201,0.35,0.248,1.0,0.96,0.85,December 2017,0.054,0.956,0.97,4.12,0.01,Meeting Target,0.03,Exceeding Target,0.772,0.8,0.0,0.56,Well Developed,Exceeding Target,Proficient,Well Developed,Exceeding Target,0.251,0.079,0.003,Exceeding Target,0.88,Well Developed,0.94,5.5,0.58,0.71,0.752,0.82,Exceeding Target,4.4,P.S. K231,0.83,0.83,4.51,0.94,0.903,303.0,0.97,0.87,0.065,0.793,4.43,0.881,0.003,0.75,0.0,0.013,,Well Developed,Well Developed,20.0,0.83,3.38,4.2,Well Developed,Well Developed,Proficient,0.884,0.165,December 2017,,ELIZABETH RUEDA MATTOCK,0.054,0.046
D75,Proficient,0.0,0.095,75K368,0.359,0.114,0.327,0.95,0.9,0.78,"March 31-April 1, 2015",0.394,0.938,0.65,,,Meeting Target,,,0.758,0.71,0.0,0.2,Proficient,,Well Developed,,Approaching Target,0.036,0.005,0.0,Meeting Target,0.88,Well Developed,0.94,5.1,0.14,0.69,0.673,0.82,,,P.S. 368,0.3,0.83,2.9,0.79,0.934,220.0,0.93,0.77,0.167,0.318,3.71,0.909,0.0,0.75,0.0,0.014,0.24,,,14.0,0.83,3.98,,,,Well Developed,0.891,0.5,"March 31-April 1, 2015",0.11,Joycelyn Nedd,0.05,0.25
D75,Developing,0.0,0.08,75K369,0.34,0.179,0.203,0.996,0.91,0.84,December 2017,0.24,0.938,0.9,3.88,,Meeting Target,,Meeting Target,0.864,0.79,0.0,0.37,Proficient,Meeting Target,Proficient,Developing,Meeting Target,0.078,0.087,0.014,Meeting Target,0.88,Proficient,0.94,5.6,0.63,0.74,0.797,0.82,Meeting Target,3.59,P.S. K369 - Coy L. Cox School,0.65,0.83,3.57,0.88,0.915,497.0,0.93,0.85,0.112,0.568,3.2,0.883,0.004,0.75,0.0,0.014,0.05,Developing,Proficient,15.0,0.83,3.09,3.49,Well Developed,Well Developed,Proficient,0.845,0.463,December 2017,0.05,Majorie Dalrymple,0.048,0.107
D75,Proficient,0.0,0.259,75K370,0.231,0.339,0.247,1.0,0.95,0.83,October 2018,0.19,0.956,0.84,,0.01,Meeting Target,0.04,,0.714,0.93,0.0,0.37,Proficient,Meeting Target,Developing,Developing,Meeting Target,0.231,0.08,0.004,Meeting Target,0.88,Developing,0.94,17.2,0.24,0.78,0.753,0.82,Exceeding Target,3.67,P.S. 370,0.56,0.83,3.28,0.94,0.879,251.0,0.94,0.88,0.079,0.635,3.34,0.849,0.008,0.75,0.0,0.004,0.16,Proficient,Proficient,21.0,0.83,3.2,4.13,Proficient,Proficient,Proficient,0.865,0.239,October 2018,0.0,SUSAN MILLER,0.079,0.048
D75,Developing,0.0,0.117,75K371,0.341,0.22,0.3,0.964,0.84,0.74,May 2017,0.156,0.95,0.59,2.36,,Approaching Target,,Approaching Target,0.844,0.62,0.0,0.26,Proficient,Meeting Target,Proficient,Proficient,Meeting Target,0.072,0.081,0.045,Approaching Target,0.88,Proficient,0.94,1.7,0.31,0.68,0.7,0.82,Approaching Target,3.33,P.S. 371 - Lillian L. Rashkis,0.41,0.83,3.31,0.78,0.975,223.0,0.92,0.74,0.05,0.644,2.78,0.937,0.022,0.75,0.0,0.013,0.27,Proficient,Well Developed,15.0,0.83,2.86,2.37,Proficient,Proficient,Proficient,0.677,0.404,May 2017,0.14,JOAN ANTONELLI,0.05,0.112
D75,Proficient,0.0,0.382,75K372,0.242,0.059,0.22,0.978,0.97,0.75,May 2019,0.18,0.966,0.95,,0.01,Exceeding Target,0.02,,0.9,0.74,0.0,0.28,Well Developed,Meeting Target,Proficient,Proficient,Meeting Target,0.102,0.005,0.0,Meeting Target,0.88,Proficient,0.94,7.7,,0.8,0.78,0.82,Approaching Target,3.81,P.S. 372 -The Children's School,0.52,0.83,3.38,0.81,0.521,186.0,0.93,0.79,0.12,0.58,3.47,0.478,0.0,0.75,0.0,0.586,,Well Developed,Proficient,15.0,0.83,4.0,2.42,Well Developed,Well Developed,Well Developed,0.36,0.22,May 2019,,Rosa Amato,0.05,0.043
